sep= 
 ID_CONJUNTO	NOME_CONJUNTO	AGRUPAMENTO	STATUS_DO_EMPREENDIMENTO	STATUS_DA_REGULARIZAÇÃO	UNIDADES_A_INICIAR	UNIDADES_EM_ANDAMENTO	UNIDADES_CONCLUÍDAS	PROGRAMA_E/OU_DEMANDA	PROGRAMA_EXTERNO_E/OU_FONTE_RECURSO	PREVISÃO_ANO_CONCLUSÃO	ANO_PRIMEIRA_ENTREGA_UH	ANO_ÚLTIMA_ENTREGA_UH	COD_FAIXA_RENDA_MCMV_CH	
"152"	"Ametista I (Bloco 14 )"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"403"	"Ametista II (Bloco 15)"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"220"	"Ametrina (Bloco 9)"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"7"	"Vila Viva"	"BNDES; PAC 1"	""	"2016"	"2016"	""
"203"	"Ar Bicão Conjuntos 1 E 2"	"41"	"Obra concluída"	""	""	""	"36"	"Vila Viva"	""	""	"2021"	"2021"	""
"204"	"Ar Principal"	"41"	"Obra em andamento"	""	""	"44"	""	"Vila Viva"	""	""	""	""	""
"407"	"Ar Tarde Azul / Principal"	"41"	"Obra concluída"	""	""	""	"20"	"Vila Viva"	"PAC 1; PBH"	""	""	"2019"	""
"105"	"Araribá"	""	"Obra concluída"	""	""	""	"40"	"OP; PEAR -> Desabrigados"	"PBH"	""	"1998"	"1998"	""
"296"	"Asca (Urucuia Quarteirão 34)"	"20"	"Obra concluída"	"Obra em andamento"	""	""	"58"	"OPH"	"Pró-moradia"	""	"1999"	"1999"	""
"297"	"Asca (Urucuia Quarteirão 35)"	"20"	"Obra concluída"	"Obra em andamento"	""	""	"62"	"OPH"	"Pró-moradia"	""	"1999"	"1999"	""
"119"	"Bacuraus I"	"43"	"Obra concluída"	""	""	""	"32"	"Intervenção Pública -> Avenida Bacuraus"	"PBH"	""	"2008"	"2008"	""
"412"	"Bacuraus II"	"43"	"Obra concluída"	""	""	""	"80"	"Intervenção Pública -> Avenida Bacuraus"	"PBH"	""	"2008"	"2008"	""
"286"	"Bairro Flávio Marques Lisboa (Conjunto Esperança)"	""	"Obra concluída"	""	""	""	"438"	"PEAR -> Desabrigados"	"PBH"	""	"1995"	"1995"	""
"414"	"Bandeirantes"	""	"Obra em andamento"	""	"40"	""	""	"OP"	""	""	""	""	""
"367"	"Bela Vista (Coronel Jorge Dário 3)"	"26"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"325"	"Bela Vista (São João C4)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"140"	"Bela Vista e Morada Nova (Mem de Sá 1)"	"24"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2007"	"2007"	""
"174"	"Berilo"	"39"	"Obra concluída"	"Obra em andamento"	""	""	"10"	"Vila Viva"	"OGU"	""	"2013"	"2013"	""
"190"	"Bonsucesso (Conjunto 8)"	"16"	"Obra concluída"	""	""	""	"56"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
"310"	"Bonsucesso e Ipê Amarelo (Cedro 2-3)"	"25"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"207"	"Cabana"	""	"Projeto concluído"	""	""	"32"	""	"OP"	""	""	""	""	""
"208"	"Cabana PAC2 Encostas"	""	"Em estudo"	""	"8"	""	""	"PEAR -> Obras"	"OGU; PAC Encostas"	""	""	""	""
"262"	"Califórnia IX (Blocos 17 E 18)"	""	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"PAC 1; PPI"	""	"2016"	"2016"	""
"311"	"Canadá (Cedro 4)"	"25"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"314"	"Cantinho do Céu (Crear A3)"	"28"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"143"	"Capivari 1"	"40"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"404"	"Capivari 2"	"40"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"199"	"Carangola (Conjunto 5)"	"16"	"Obra concluída"	""	""	""	"24"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2015"	"2015"	""
"318"	"Cardoso (Cardoso 4)"	"30"	"Obra concluída"	""	""	""	"12"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"319"	"Cardoso (Cardoso 5)"	"30"	"Obra concluída"	""	""	""	"12"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"309"	"Cardoso (Mem de Sá 3)"	"24"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2007"	"2007"	""
"320"	"Cardoso Palace (Cardoso 6)"	"30"	"Obra concluída"	""	""	""	"12"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"372"	"Castelli (Cardoso 1)"	"30"	"Obra concluída"	""	""	""	"12"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"369"	"Cerro (Coronel Jorge Dário 2)"	"26"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"2"	"Condomínio Amazonas"	""	"Obra concluída"	""	""	""	"220"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida II"	""	"2015"	"2015"	"10"
"183"	"Condomínio Bromélias"	"13"	"Obra concluída"	""	""	""	"96"	"Vila Viva"	"FNHIS; OGU; PAC 1"	""	"2014"	"2014"	""
"184"	"Condomínio Camélias"	"13"	"Obra concluída"	""	""	""	"64"	"Vila Viva"	"FNHIS; OGU; PAC 1"	""	"2014"	"2014"	""
"3"	"Condomínio Coqueiros I"	"9"	"Obra concluída"	""	""	""	"120"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida II"	""	"2014"	"2014"	"10"
"4"	"Condomínio Coqueiros II"	"9"	"Obra concluída"	""	""	""	"30"	"MCMV"	"FAR"	""	"2014"	"2014"	"10"
"185"	"Condomínio das Azaléias"	"13"	"Obra concluída"	""	""	""	"48"	"Vila Viva"	"FNHIS; OGU; PAC 1"	""	"2014"	"2014"	""
"36"	"Condomínio Manaus"	""	"Obra concluída"	""	""	""	"180"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida II"	""	"2016"	"2016"	"10"
"1"	"Condomínio Marajó / Orgulho de Minas I"	""	"Obra concluída"	""	""	""	"200"	"MCMV"	""	""	"2019"	"2019"	"15"
"139"	"Confisco"	""	"Obra concluída"	"Projeto concluído"	""	""	"35"	"Auto Construtor"	"PBH"	""	"1994"	"1994"	""
"145"	"Conjunto Aarão Reis"	""	"Obra concluída"	""	""	""	"12"	"OP"	"PBH"	""	"2008"	"2008"	""
"129"	"Conjunto Canário"	""	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"60"	"Conjunto Habitacional Araguaia"	""	"Obra concluída"	""	""	""	"48"	"OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"2009"	"2009"	""
"45"	"Conjunto Habitacional Araguaia - Milionários (Milionários I)"	""	"Obra concluída"	""	""	""	"35"	"PEAR -> Desabrigados"	"PBH"	""	"1996"	"1996"	""
"147"	"Conjunto Habitacional Bem-Te-Vi I"	""	"Obra concluída"	""	""	""	"90"	"OPH; PEAR -> Desabrigados"	"FNHIS"	""	"2011"	"2011"	""
"56"	"Conjunto Habitacional Bem-Te-Vi II"	""	"Obra concluída"	""	""	""	"48"	"OPH"	"FNHIS"	""	"2010"	"2010"	""
"51"	"Conjunto Habitacional Berlim"	""	"Obra concluída"	""	""	""	"20"	"PEAR -> Desabrigados"	"ONG Kolping"	""	"2004"	"2004"	""
"94"	"Conjunto Habitacional Califórnia I"	""	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"PAC 1; PPI"	""	"2008"	"2008"	""
"93"	"Conjunto Habitacional Califórnia II"	""	"Obra concluída"	""	""	""	"24"	"Vila Viva"	"PAC 1; PPI"	""	"2008"	"2008"	""
"92"	"Conjunto Habitacional Califórnia III"	""	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; PPI"	""	"2008"	"2008"	""
"91"	"Conjunto Habitacional Califórnia IV"	""	"Obra concluída"	""	""	""	"16"	"Vila Viva"	""	""	"2008"	"2008"	""
"89"	"Conjunto Habitacional Califórnia V"	""	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; PPI"	""	"2008"	"2008"	""
"90"	"Conjunto Habitacional Califórnia VI"	""	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; PPI"	""	"2009"	"2009"	""
"261"	"Conjunto Habitacional Califórnia VII"	""	"Obra concluída"	"Obra em andamento"	""	""	"8"	"Vila Viva"	"PAC 1; PPI"	""	"2016"	"2016"	""
"415"	"Conjunto Habitacional Califórnia VIII"	""	"Obra concluída"	"Obra em andamento"	""	""	"8"	"Vila Viva"	"PAC 1; PPI"	""	"2016"	"2016"	""
"215"	"Conjunto Habitacional Camões - Quadra 33"	""	"Obra concluída"	""	""	""	"64"	"Vila Viva"	"Pró-moradia"	""	"2015"	"2015"	""
"217"	"Conjunto Habitacional Camões - Quadra 34"	""	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"Pró-moradia"	""	"2015"	"2015"	""
"218"	"Conjunto Habitacional Camões - Quadra 35"	""	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"Pró-moradia"	""	"2015"	"2015"	""
"61"	"Conjunto Habitacional Camomila"	""	"Obra concluída"	""	""	""	"48"	"OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"2009"	"2009"	""
"150"	"Conjunto Habitacional Castelo I"	""	"Obra concluída"	""	""	""	"84"	"OPH"	"Crédito Solidário"	""	"2011"	"2011"	""
"284"	"Conjunto Habitacional Cdi Jatobá I (Águas Claras)"	"1"	"Obra concluída"	""	""	""	"282"	"OPH; PEAR -> Desabrigados"	"PSH - Programa de Subsídio Habitacional"	""	"2005"	"2005"	""
"283"	"Conjunto Habitacional Cdi Jatobá II (Águas Claras)"	"1"	"Obra concluída"	""	""	""	"396"	"OPH; PEAR -> Desabrigados"	"PSH - Programa de Subsídio Habitacional"	""	"2005"	"2005"	""
"306"	"Conjunto Habitacional Central"	""	"Obra concluída"	""	""	""	"16"	"Vila Viva"	""	""	""	"2016"	""
"307"	"Conjunto Habitacional Central - Quadra 116"	""	"Obra concluída"	""	""	""	"32"	"Vila Viva"	""	""	"2017"	"2017"	""
"282"	"Conjunto Habitacional Deuslene"	""	"Obra concluída"	""	""	""	"50"	"OPH"	"PBH"	""	"1999"	"1999"	""
"265"	"Conjunto Habitacional Diamante I - R1 (Diamante I)"	"4"	"Obra concluída"	""	""	""	"35"	"Acampados; OPH; PEAR -> Desabrigados"	"Estado de Minas Gerais; Habitar Brasil"	""	"1998"	"1998"	""
"266"	"Conjunto Habitacional Diamante I - R2 (Diamante I)"	"4"	"Obra concluída"	""	""	""	"42"	"Acampados; OPH; PEAR -> Desabrigados"	"Estado de Minas Gerais; Habitar Brasil"	""	"1998"	"1998"	""
"267"	"Conjunto Habitacional Diamante II"	""	"Obra concluída"	""	""	""	"80"	"OPH"	"Crédito Solidário"	""	"2011"	"2011"	""
"58"	"Conjunto Habitacional Diamante Negro"	""	"Obra concluída"	""	""	""	"144"	"OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"2009"	"2009"	""
"95"	"Conjunto Habitacional Em Deus Há Força (Conjunto Habitacional Em Deus Há Força)"	""	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; PPI"	""	"2008"	"2008"	""
"86"	"Conjunto Habitacional Fernão Dias"	""	"Obra concluída"	""	""	""	"144"	"OPH"	"PBH"	""	"2000"	"2000"	""
"49"	"Conjunto Habitacional França"	""	"Obra concluída"	""	""	""	"64"	"OP"	"Saneamento Para Todos"	""	"2008"	"2008"	""
"87"	"Conjunto Habitacional Goiânia"	""	"Obra concluída"	""	""	""	"42"	"PEAR -> Desabrigados"	"PBH"	""	"1996"	"1996"	""
"77"	"Conjunto Habitacional Granja de Freitas I (Residencial 29 de Junho)"	""	"Obra concluída"	""	""	""	"85"	"Acampados"	"Estado de Minas Gerais; Habitar Brasil"	""	"1998"	"1998"	""
"81"	"Conjunto Habitacional Granja de Freitas II - R2 (Prédio Azul)"	"5"	"Obra concluída"	""	""	""	"144"	"OPH"	"PBH"	""	"2002"	"2002"	""
"78"	"Conjunto Habitacional Granja de Freitas II - R3 (Prédio Verde)"	"5"	"Obra concluída"	""	""	""	"224"	"OPH"	"PBH"	""	"2002"	"2002"	""
"80"	"Conjunto Habitacional Granja de Freitas II - R4 (Prédio Laranja)"	"5"	"Obra concluída"	""	""	""	"144"	"OPH"	"PBH"	""	"2002"	"2002"	""
"79"	"Conjunto Habitacional Granja de Freitas II - R5 (Prédio Bordô)"	"5"	"Obra concluída"	""	""	""	"32"	"OPH"	"PBH"	""	"2002"	"2002"	""
"82"	"Conjunto Habitacional Granja de Freitas III (Jardim das Hortências)"	""	"Obra concluída"	""	""	""	"146"	"OPH"	"PBH"	""	"2001"	"2001"	""
"85"	"Conjunto Habitacional Granja de Freitas IX - Residencial Taquaril"	""	"Obra concluída"	""	""	""	"216"	"Vila Viva"	""	""	"2011"	"2011"	""
"83"	"Conjunto Habitacional Granja Rua do Grupo"	""	"Obra concluída"	""	""	""	"128"	"OP; OPH; PEAR -> Desabrigados"	"Saneamento Para Todos"	""	"2009"	"2009"	""
"118"	"Conjunto Habitacional Ipês"	""	"Obra concluída"	""	""	""	"130"	"OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"2009"	"2009"	""
"54"	"Conjunto Habitacional Itaipu"	""	"Obra concluída"	""	""	""	"60"	"OPH"	"Crédito Solidário"	""	"2010"	"2010"	""
"123"	"Conjunto Habitacional Itatiaia-Serrano (Itatiaia)"	""	"Obra concluída"	""	""	""	"192"	"OPH"	"PBH"	""	"2001"	"2001"	""
"113"	"Conjunto Habitacional Jaqueline"	""	"Obra concluída"	""	""	""	"280"	"OPH"	"PSH - Programa de Subsídio Habitacional"	""	"2006"	"2006"	""
"189"	"Conjunto Habitacional Joinville (Quadra 38)"	""	"Obra concluída"	""	""	""	"48"	"Vila Viva"	"Pró-moradia"	""	"2014"	"2014"	""
"268"	"Conjunto Habitacional Lagoa- R1 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"5"	"Acampados; OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"277"	"Conjunto Habitacional Lagoa- R10 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"4"	"Acampados; OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"278"	"Conjunto Habitacional Lagoa- R11 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"44"	"Acampados; OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"279"	"Conjunto Habitacional Lagoa- R12 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"54"	"Acampados; OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"280"	"Conjunto Habitacional Lagoa- R13 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"20"	"Acampados; OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"281"	"Conjunto Habitacional Lagoa- R14 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"14"	"OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"269"	"Conjunto Habitacional Lagoa- R2 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"10"	"OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"270"	"Conjunto Habitacional Lagoa- R3 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"50"	"Acampados; OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"271"	"Conjunto Habitacional Lagoa- R4 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"17"	"Acampados; OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"272"	"Conjunto Habitacional Lagoa- R5 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"24"	"Acampados; OP; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"273"	"Conjunto Habitacional Lagoa- R6 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"8"	"Acampados; OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"274"	"Conjunto Habitacional Lagoa- R7 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"26"	"OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"275"	"Conjunto Habitacional Lagoa- R8 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"46"	"Acampados; OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"276"	"Conjunto Habitacional Lagoa- R9 (Lagoa)"	"7"	"Obra concluída"	""	""	""	"54"	"Acampados; OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"1999"	"1999"	""
"121"	"Conjunto Habitacional Laranjeiras"	""	"Obra concluída"	""	""	""	"80"	"OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"2009"	"2009"	""
"59"	"Conjunto Habitacional Mangueiras"	""	"Obra concluída"	""	""	""	"144"	"OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"2010"	"2010"	""
"260"	"Conjunto Habitacional Quadra 122/11 - Setor Madri"	""	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"Pró-moradia"	""	"2016"	"2016"	""
"160"	"Conjunto Habitacional Raimundo Correa (Quadra 39)"	""	"Obra concluída"	""	""	""	"48"	"Vila Viva"	"Saneamento Para Todos"	""	"2012"	"2012"	""
"163"	"Conjunto Habitacional Residencial Castelo II"	""	"Obra concluída"	""	""	""	"140"	"OPH"	"Crédito Solidário"	""	"2012"	"2012"	""
"305"	"Conjunto Habitacional Rio Trici - Quadra 122/12"	""	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"Pró-moradia"	""	"2016"	"2017"	""
"255"	"Conjunto Habitacional Santa Amélia (Virgílio Melo Franco Quadra 94)"	""	"Obra concluída"	""	""	""	"80"	"Vila Viva"	"Pró-moradia"	""	"2015"	"2016"	""
"256"	"Conjunto Habitacional Santa Amélia - Quadra 133 (Virgílio de Melo Franco Quadra 133)"	""	"Obra concluída"	""	""	""	"80"	"Vila Viva"	""	""	"2017"	"2017"	""
"289"	"Conjunto Habitacional São José - Quarteirão 116 (São José)"	"13"	"Obra concluída"	""	""	""	"96"	"Vila Viva"	"PAC 1; PPI"	""	"2010"	"2010"	""
"117"	"Conjunto Habitacional São Tomaz I (Flor de Maio)"	""	"Obra concluída"	""	""	""	"8"	"OPH"	"PBH"	""	"2002"	"2002"	""
"406"	"Conjunto Habitacional São Tomaz II (Flor de Maio)"	""	"Obra concluída"	""	""	""	"8"	"OPH"	"PBH"	""	"2002"	"2002"	""
"219"	"Conjunto Habitacional Surreti (Quadra 6)"	""	"Obra concluída"	""	""	""	"96"	"Vila Viva"	"Pró-moradia"	""	"2016"	"2017"	""
"52"	"Conjunto Habitacional Vila Alpes II"	""	"Obra concluída"	""	""	""	"48"	"OP"	"Saneamento Para Todos"	""	"2008"	"2008"	""
"44"	"Conjunto Habitacional Vila Régia"	""	"Obra concluída"	""	""	""	"80"	"OPH"	"PBH"	""	"2000"	"2000"	""
"57"	"Conjunto Habitacional Vista Alegre  (Fênix)"	""	"Obra concluída"	""	""	""	"67"	"OPH"	"PBH"	""	"1999"	"1999"	""
"55"	"Conjunto Habitacional Vitória - Milionários (Milionários II)"	""	"Obra concluída"	""	""	""	"48"	"OPH"	"PBH"	""	"1999"	"1999"	""
"164"	"Conjunto Habitacional Vitória-Juliana (Conjunto Vitória E Conjunto Juliana)"	""	"Obra concluída"	""	""	""	"304"	"OPH; PEAR -> Desabrigados"	"FNHIS; Pró-moradia"	""	"2009"	"2011"	""
"48"	"Conjunto Habitacional Zurick"	""	"Obra concluída"	""	""	""	"112"	"OP"	"Saneamento Para Todos"	""	"2008"	"2008"	""
"34"	"Conjunto Parque Cerrado"	""	"Em estudo"	"Obra em andamento"	"2280"	""	""	"MCMV"	""	""	""	""	"15"
"128"	"Conjunto Residencial Comanches"	""	"Obra concluída"	""	""	""	"96"	"OP"	"Saneamento Para Todos"	""	"2008"	"2008"	""
"62"	"Conjunto Residencial Diamante Azul - R5 (Diamante Azul)"	""	"Obra concluída"	""	""	""	"128"	"Drenurbs"	"BID"	""	"2009"	"2009"	""
"159"	"Conjunto Residencial Mar Vermelho I"	""	"Obra concluída"	""	""	""	"77"	"OPH"	"Crédito Solidário"	""	"2012"	"2012"	""
"124"	"Conjunto Residencial Marrocos"	""	"Obra concluída"	""	""	""	"32"	"OP"	"Saneamento Para Todos"	""	"2008"	"2008"	""
"125"	"Conjunto Residencial México"	""	"Obra concluída"	""	""	""	"64"	"OP"	"Saneamento Para Todos"	""	"2008"	"2008"	""
"66"	"Conjunto Residencial Pedras Preciosas"	""	"Obra concluída"	""	""	""	"56"	"Vila Viva"	"BNDES; PAC 1"	""	"2009"	"2009"	""
"176"	"Conjunto Residencial Urucuia - Q26 (Asca)"	"20"	"Obra concluída"	""	""	""	"46"	"OPH"	"Pró-moradia"	""	"1999"	"1999"	""
"295"	"Conjunto Residencial Urucuia - Q33 (Asca)"	"20"	"Obra concluída"	""	""	""	"36"	"OPH"	"Pró-moradia"	""	"1999"	"1999"	""
"137"	"Conjunto Rua da Água"	""	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"127"	"Conjunto São José Q112  (São José)"	"13"	"Obra concluída"	""	""	""	"704"	"Vila Viva"	"PAC 1; PPI"	""	"2008"	"2009"	""
"285"	"Conjunto Serra Verde II"	""	"Obra concluída"	""	""	""	"55"	"Intervenção Pública -> Avenida Vilarinho"	"PBH"	""	"1996"	"1996"	""
"96"	"Conjunto Via Expressa I"	""	"Obra concluída"	""	""	""	"144"	"PEAR -> Desabrigados"	"PSH - Programa de Subsídio Habitacional"	""	"2004"	"2004"	""
"97"	"Conjunto Via Expressa II"	""	"Obra concluída"	""	""	""	"112"	"OPH"	"FNHIS"	""	"2007"	"2007"	""
"53"	"Conquista da União (Tirol)"	""	"Obra concluída"	""	""	""	"280"	"OPH"	"PBH"	""	"2000"	"2000"	""
"365"	"Coronel Jorge Dário 8-9"	"26"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"312"	"Crear C6-7"	"28"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"154"	"Cristal"	"39"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"OGU"	""	"2011"	"2011"	""
"135"	"Diamante e Morada da Serra (Conjunto Savassinha)"	""	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"171"	"Diamante I  (Bloco 12)"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2013"	"2013"	""
"402"	"Diamante II  (Bloco 13)"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2013"	"2013"	""
"88"	"Dom Silvério"	""	"Obra concluída"	"Obra em andamento"	""	""	"71"	"OPH"	"PBH"	""	"2000"	"2000"	""
"186"	"Ebenézer Madre Gertrudes (Vila São José)"	""	"Obra concluída"	"Obra em andamento"	""	""	"8"	"OP"	"PBH"	""	"2014"	"2014"	""
"177"	"Edifício Acácia - Bloco 5"	"27"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
"360"	"Edifício Bromélia - Bloco 9"	"27"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
"353"	"Edifício Jasmim - Bloco 3"	"27"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
"354"	"Edifício Lirio - Bloco 4"	"27"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
"358"	"Edifício Murici - Bloco 7"	"27"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
"355"	"Edifício Orquídea - Bloco1"	"27"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
